ds,yhat,yhat_lower,yhat_upper
2014-03-30,75.3028542953071,-7.277559372424073,159.19059143496054
2014-03-31,43.889502948642,-34.011269449395805,122.0721119694022
2014-04-01,38.56404404099765,-44.93281289982031,123.03353427420059
2014-04-02,59.34736448356315,-23.51482218238853,140.63256299942202
2014-04-03,41.631933996404264,-39.982385903804136,128.48790963802398
2014-04-04,50.686200446521084,-32.377921354854664,134.35280960065552
2014-04-05,100.43962438778235,15.185942220505936,182.8499006630405
2014-04-06,56.78942092384878,-22.075442712401653,140.3260335774386
2014-04-07,28.447842735051065,-56.746596152742235,111.575727371604
2014-04-08,25.893176482787137,-52.10233015418037,110.28984347301441
2014-04-09,50.910793240362274,-31.451324927340732,138.568742627157
2014-04-10,37.12099075430675,-42.95208403123314,119.38201173099056
